,id_caso,id_caso_relacionado,a_o,mes,d_a,c_digo_dane_de_municipio,municipio,departamento,regi_n,modalidad,presunto_responsable,descripci_n_presunto,abandono_o_despojo_forzado,amenaza_o_intimidaci_n,ataque_contra_misi_n_m_dica,confinamiento_o_restricci,desplazamiento_forzado,extorsi_n,lesionados_civiles,pillaje,tortura,total_combatientes,total_civiles,total_de_v_ctimas_del_caso,tipo_de_armas,latitud_longitud,otro_hecho_simult_neo
25,185292,CR005163,1992,3,27,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
26,185293,CR020249,1992,4,1,76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,6,0,0,3,0,3,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",
27,185294,CR048156,1992,9,1,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,8,0,0,0,9,9,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",
28,185295,CR005158,1992,12,11,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,9,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
29,185296,,1993,2,10,68081,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,0,16,16,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-73.84995698, 7.064963864]}",
30,185297,,1995,6,10,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,99,0,0,0,23,23,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",
31,185299,CR018229,1995,7,9,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,4,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
32,185300,CR005095,1995,10,17,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,12,0,0,0,2,2,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
33,185301,CR005112,1996,10,4,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,4,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",
34,185302,CR023021,1996,10,21,23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,11,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",7-POLICÍAS HERIDOS
35,185303,CR005116,1996,12,16,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,48,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",
36,185304,CR005103,1996,12,17,23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,36,0,0,0,4,4,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",
37,185305,CR023019,1997,3,10,23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,22,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",
38,185306,CR005135,1997,3,17,54001,CUCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,4,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-72.5082562, 7.905306295]}",
39,185307,CR005105,1997,6,24,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,11,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",
40,185308,CR036067,1997,7,27,5040,ANORI,ANTIOQUIA,NORDESTE ANTIOQUEÑO,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,0,20,20,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.14834842, 7.074707669]}",
41,185309,CR005177,1998,2,6,25878,VIOTA,CUNDINAMARCA,SUROCCIDENTE DE CUNDINAMARCA,ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,8,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.52316032, 4.439355814]}",
42,185310,,1998,2,6,25878,VIOTA,CUNDINAMARCA,SUROCCIDENTE DE CUNDINAMARCA,ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,10,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.52316032, 4.439355814]}",
43,185311,CR018872,1998,2,12,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,5,0,0,0,4,4,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",
44,185312,CR018236,1998,4,29,44001,RIOHACHA,LA GUAJIRA,SIERRA NEVADA DE SANTA MARTA,ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,6,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-72.91148891, 11.52875138]}",
45,185313,,1998,9,18,70713,SAN ONOFRE,SUCRE,MONTES DE MARIA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,0,4,4,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.5230307, 9.736932014]}",
46,185314,CR005123,1999,2,21,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,9,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
47,185315,CR023015,1999,7,30,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,28,0,0,2,7,9,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",
48,185316,CR005111,1999,8,27,23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,11,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",
