,id_caso,id_caso_relacionado,a_o,mes,d_a,c_digo_dane_de_municipio,municipio,departamento,regi_n,modalidad,presunto_responsable,descripci_n_presunto,abandono_o_despojo_forzado,amenaza_o_intimidaci_n,ataque_contra_misi_n_m_dica,confinamiento_o_restricci,desplazamiento_forzado,extorsi_n,lesionados_civiles,pillaje,tortura,otro_hecho_simult_neo,total_de_v_ctimas_del_caso,tipo_de_armas,latitud_longitud,violencia_basada_en_g_nero
943,289296,,1991,5,31,25862,VERGARA,CUNDINAMARCA,NOROCCIDENTE DE CUNDINAMARCA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,5,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.3463604317, 5.1173045684]}",
944,289300,,1991,6,19,19364,JAMBALO,CAUCA,NORTE DEL CAUCA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,3,0,1,,5,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-76.3238781841, 2.7778373466]}",
945,289301,CR113003,1991,6,19,70678,SAN BENITO ABAD,SUCRE,LA MOJANA,INTERCEPTACIÓN,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,7,ARMA DE FUEGO - ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.1360683925, 8.9882808356]}",
946,289302,,1991,6,23,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,2,0,0,,5,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
947,289303,,1991,6,24,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,5,0,0,,13,ND,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
948,289304,,1991,6,24,5034,ANDES,ANTIOQUIA,SUROESTE ANTIOQUEÑO,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,9,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.8787918873, 5.6567748525]}",
949,289305,,1991,6,26,76520,PALMIRA,VALLE DEL CAUCA,SUR DEL VALLE,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,1,,5,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-76.2985825464, 3.532349153]}",
950,289307,,1991,7,22,47189,CIENAGA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,2,0,0,,5,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.2534489818, 10.9333491268]}",
951,289308,,1991,7,25,52835,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,RETENCIÓN/EJECUCIÓN,AGENTE DEL ESTADO,POLICÍA NACIONAL,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-78.7638541478, 1.8071172501]}",
952,289309,,1991,7,28,5138,CAÑASGORDAS,ANTIOQUIA,OCCIDENTE ANTIOQUEÑO,INTERCEPTACIÓN,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-76.0312652565, 6.9212574917]}",
953,289310,,1991,8,4,68573,PUERTO PARRA,SANTANDER,MAGDALENA MEDIO,ASALTO,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.918472517, 6.6195043728]}",
954,289311,,1991,8,8,68001,BUCARAMANGA,SANTANDER,PROVINCIA DE SOTO,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,1,0,0,,6,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.1325981781, 7.1162672756]}",
955,289312,,1991,8,10,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ASALTO,GUERRILLA,ELN,0,0,0,0,0,0,1,0,0,,6,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
956,289314,,1991,8,13,50313,GRANADA,META,ARIARI GUAYABERO,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.7057153275, 3.5466947237]}",
957,289315,,1991,8,16,20045,BECERRIL,CESAR,SERRANIA DEL PERIJA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,7,,7,ND,"{'type': 'Point', 'coordinates': [-73.2135300531, 9.6241615276]}",
958,289316,,1991,8,18,25290,FUSAGASUGA,CUNDINAMARCA,SUMAPAZ,ASALTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,8,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.3663339328, 4.3384808505]}",
959,289317,,1990,8,19,5736,SEGOVIA,ANTIOQUIA,NORDESTE ANTIOQUEÑO,ASALTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,0,1,0,0,0,0,0,1,0,,6,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.7015910715, 7.0796396792]}",
960,289318,,1991,8,19,20045,BECERRIL,CESAR,SERRANIA DEL PERIJA,REUNIÓN PÚBLICA,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,1,0,0,,6,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.2135300531, 9.6241615276]}",
