,relcase_tax,year,mes,d_a,latitud_longitud,c_digo_dane_de_municipio,municipio,departamento,regi_n,g1_tax,dg1_tax,victims_tax,guerrattack_tax,parattack_tax,posdattack_tax,clash_tax,govattack_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,latitud_longitud_dict,latitude,longitude,date,event,dataset
49,CR005146,2001,8,9,"{'type': 'Point', 'coordinates': [-75.10268697, 5.964079131]}",5652,SAN FRANCISCO,ANTIOQUIA,ORIENTE ANTIOQUEÑO,GUERRILLA,ELN,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.10268697, 5.964079131]}",5.964079131,-75.10268697,2001-8-9,49,AT
50,CR005148,2000,10,2,"{'type': 'Point', 'coordinates': [-73.84995698, 7.064963864]}",68081,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,GUERRILLA,ELN,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.84995698, 7.064963864]}",7.064963864,-73.84995698,2000-10-2,50,AT
51,CR005149,2001,10,21,"{'type': 'Point', 'coordinates': [-75.24282171, 6.219450549]}",5541,PENOL,ANTIOQUIA,ORIENTE ANTIOQUEÑO,GUERRILLA,ELN,6.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.24282171, 6.219450549]}",6.219450549,-75.24282171,2001-10-21,51,AT
52,CR005150,2003,10,25,"{'type': 'Point', 'coordinates': [-75.41883314, 6.963872352]}",5887,YARUMAL,ANTIOQUIA,NORTE DE ANTIOQUIA,GUERRILLA,FARC,7.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.41883314, 6.963872352]}",6.963872352,-75.41883314,2003-10-25,52,AT
53,CR005151,2003,10,22,"{'type': 'Point', 'coordinates': [-76.9059688, 0.4239040926]}",86865,VALLE DEL GUAMUEZ,PUTUMAYO,BAJO PUTUMAYO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,2.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.9059688, 0.4239040926]}",0.4239040926,-76.9059688,2003-10-22,53,AT
54,CR005152,2003,3,5,"{'type': 'Point', 'coordinates': [-72.5082562, 7.905306295]}",54001,CUCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,GUERRILLA,ELN,13.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.5082562, 7.905306295]}",7.905306295,-72.5082562,2003-3-5,54,AT
55,CR005153,2007,10,22,"{'type': 'Point', 'coordinates': [-76.49727285, 0.5050467219]}",86568,PUERTO ASIS,PUTUMAYO,BAJO PUTUMAYO,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.49727285, 0.5050467219]}",0.5050467219,-76.49727285,2007-10-22,55,AT
56,CR005154,2011,10,2,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",76275,FLORIDA,VALLE DEL CAUCA,SUR DEL VALLE,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",3.323918106,-76.23450174,2011-10-2,56,AT
57,CR005155,1989,11,27,"{'type': 'Point', 'coordinates': [-74.21452753, 4.585491658]}",25754,SOACHA,CUNDINAMARCA,AREA METROPOLITANA DE BOGOTA,GRUPO PARAMILITAR,NO IDENTIFICADO,107.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.21452753, 4.585491658]}",4.585491658,-74.21452753,1989-11-27,57,AT
58,CR005156,2000,11,18,"{'type': 'Point', 'coordinates': [-76.49727285, 0.5050467219]}",86568,PUERTO ASIS,PUTUMAYO,BAJO PUTUMAYO,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.49727285, 0.5050467219]}",0.5050467219,-76.49727285,2000-11-18,58,AT
59,CR005157,2002,11,13,"{'type': 'Point', 'coordinates': [-72.5082562, 7.905306295]}",54001,CUCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,GUERRILLA,ELN,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.5082562, 7.905306295]}",7.905306295,-72.5082562,2002-11-13,59,AT
60,CR005158,1992,12,11,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,ELN,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,1992-12-11,60,AT
61,CR005159,1998,12,12,"{'type': 'Point', 'coordinates': [-73.13259818, 7.116267276]}",68001,BUCARAMANGA,SANTANDER,PROVINCIA DE SOTO,GUERRILLA,DISIDENCIA EPL,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.13259818, 7.116267276]}",7.116267276,-73.13259818,1998-12-12,61,AT
62,CR005160,1999,12,6,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GUERRILLA,ELN,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1999-12-6,62,AT
