,relcase_tax,year,mes,d_a,latitud_longitud,c_digo_dane_de_municipio,municipio,departamento,regi_n,g1_tax,dg1_tax,victims_tax,guerrattack_tax,parattack_tax,posdattack_tax,clash_tax,govattack_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,latitud_longitud_dict,latitude,longitude,date,event,dataset
154,CR2017679826,2022,1,19,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",81736,SARAVENA,ARAUCA,SARARE,GUERRILLA,DISIDENCIA FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",6.95385957,-71.87233343,2022-1-19,154,AT
155,CR2017679973,2022,2,16,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",19256,EL TAMBO,CAUCA,NORTE DEL CAUCA,GUERRILLA,DISIDENCIA FARC,5.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",2.45137136,-76.81077225,2022-2-16,155,AT
156,,1989,10,16,"{'type': 'Point', 'coordinates': [-73.13259818, 7.116267276]}",68001,BUCARAMANGA,SANTANDER,PROVINCIA DE SOTO,GUERRILLA,NO IDENTIFICADA,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.13259818, 7.116267276]}",7.116267276,-73.13259818,1989-10-16,156,AT
157,,1990,6,28,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,14.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1990-6-28,157,AT
158,,1991,6,1,"{'type': 'Point', 'coordinates': [-75.49104898, 5.057688197]}",17001,MANIZALES,CALDAS,EJE CAFETERO,GUERRILLA,EPL,4.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.49104898, 5.057688197]}",5.057688197,-75.49104898,1991-6-1,158,AT
159,,1993,2,10,"{'type': 'Point', 'coordinates': [-73.84995698, 7.064963864]}",68081,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,GUERRILLA,NO IDENTIFICADA,16.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.84995698, 7.064963864]}",7.064963864,-73.84995698,1993-2-10,159,AT
160,,1995,6,10,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDO,NO APLICA,1.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1995-6-10,160,AT
161,,1995,6,10,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GUERRILLA,FARC,23.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1995-6-10,161,AT
162,,1997,10,14,"{'type': 'Point', 'coordinates': [-75.15748874, 1.908935073]}",18592,PUERTO RICO,CAQUETA,CAGUAN,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.15748874, 1.908935073]}",1.908935073,-75.15748874,1997-10-14,162,AT
163,,1998,2,6,"{'type': 'Point', 'coordinates': [-74.52316032, 4.439355814]}",25878,VIOTA,CUNDINAMARCA,SUROCCIDENTE DE CUNDINAMARCA,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.52316032, 4.439355814]}",4.439355814,-74.52316032,1998-2-6,163,AT
164,,1998,9,18,"{'type': 'Point', 'coordinates': [-75.5230307, 9.736932014]}",70713,SAN ONOFRE,SUCRE,MONTES DE MARIA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,4.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.5230307, 9.736932014]}",9.736932014,-75.5230307,1998-9-18,164,AT
165,,1999,5,30,"{'type': 'Point', 'coordinates': [-72.89972106, 8.998278492]}",54810,TIBU,NORTE DE SANTANDER,CATATUMBO,GRUPO PARAMILITAR,NO IDENTIFICADO,1.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.89972106, 8.998278492]}",8.998278492,-72.89972106,1999-5-30,165,AT
166,,2000,3,9,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,GRUPO PARAMILITAR,NO IDENTIFICADO,1.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",8.745132591,-75.87557791,2000-3-9,166,AT
167,,2000,11,5,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,GUERRILLA,ELN,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",3.414414305,-76.52156515,2000-11-5,167,AT
168,,2002,4,14,"{'type': 'Point', 'coordinates': [-74.79525905, 10.97592682]}",8001,BARRANQUILLA,ATLANTICO,NORTE DE ATLANTICO,GUERRILLA,FARC,4.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.79525905, 10.97592682]}",10.97592682,-74.79525905,2002-4-14,168,AT
169,,2002,4,15,"{'type': 'Point', 'coordinates': [-76.54245873, 3.26227576]}",76364,JAMUNDI,VALLE DEL CAUCA,SUR DEL VALLE,GRUPO PARAMILITAR,NO IDENTIFICADO,3.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.54245873, 3.26227576]}",3.26227576,-76.54245873,2002-4-15,169,AT
170,,2002,9,6,"{'type': 'Point', 'coordinates': [-75.68246912, 4.827187832]}",66170,DOSQUEBRADAS,RISARALDA,EJE CAFETERO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,2.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.68246912, 4.827187832]}",4.827187832,-75.68246912,2002-9-6,170,AT
171,,2002,9,16,"{'type': 'Point', 'coordinates': [-71.42675118, 7.026981415]}",81065,ARAUQUITA,ARAUCA,SARARE,GUERRILLA,NO IDENTIFICADA,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.42675118, 7.026981415]}",7.026981415,-71.42675118,2002-9-16,171,AT
172,,2003,4,17,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",81300,FORTUL,ARAUCA,SARARE,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",6.797075753,-71.7685578,2003-4-17,172,AT
173,,2003,7,5,"{'type': 'Point', 'coordinates': [-75.32612346, 1.570373283]}",18256,EL PAUJIL,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.32612346, 1.570373283]}",1.570373283,-75.32612346,2003-7-5,173,AT
174,,2003,7,8,"{'type': 'Point', 'coordinates': [-75.32612346, 1.570373283]}",18256,EL PAUJIL,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.32612346, 1.570373283]}",1.570373283,-75.32612346,2003-7-8,174,AT
175,,2003,10,14,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",81736,SARAVENA,ARAUCA,SARARE,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",6.95385957,-71.87233343,2003-10-14,175,AT
176,,2003,10,16,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",81300,FORTUL,ARAUCA,SARARE,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",6.797075753,-71.7685578,2003-10-16,176,AT
177,,2003,11,10,"{'type': 'Point', 'coordinates': [-75.76467317, 7.17162903]}",5361,ITUANGO,ANTIOQUIA,NORTE DE ANTIOQUIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.76467317, 7.17162903]}",7.17162903,-75.76467317,2003-11-10,177,AT
178,,2003,11,27,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",81794,TAME,ARAUCA,SARARE,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,2.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",6.449379486,-71.75861086,2003-11-27,178,AT
179,,2003,11,27,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",81794,TAME,ARAUCA,SARARE,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",6.449379486,-71.75861086,2003-11-27,179,AT
180,,2003,12,16,"{'type': 'Point', 'coordinates': [-74.79525905, 10.97592682]}",8001,BARRANQUILLA,ATLANTICO,NORTE DE ATLANTICO,GUERRILLA,NO IDENTIFICADA,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.79525905, 10.97592682]}",10.97592682,-74.79525905,2003-12-16,180,AT
181,,2005,8,6,"{'type': 'Point', 'coordinates': [-70.74635031, 7.077358544]}",81001,ARAUCA,ARAUCA,LLANOS ORIENTALES,DESCONOCIDO,NO APLICA,1.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-70.74635031, 7.077358544]}",7.077358544,-70.74635031,2005-8-6,181,AT
182,,2005,8,6,"{'type': 'Point', 'coordinates': [-70.74635031, 7.077358544]}",81001,ARAUCA,ARAUCA,LLANOS ORIENTALES,GUERRILLA,NO IDENTIFICADA,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-70.74635031, 7.077358544]}",7.077358544,-70.74635031,2005-8-6,182,AT
183,,2006,4,27,"{'type': 'Point', 'coordinates': [-73.84995698, 7.064963864]}",68081,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,GRUPO POSDESMOVILIZACIÓN,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,0.0,0,0,1,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.84995698, 7.064963864]}",7.064963864,-73.84995698,2006-4-27,183,AT
184,,2006,8,18,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",3.875802437,-77.0117402,2006-8-18,184,AT
185,,2007,2,9,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",3.875802437,-77.0117402,2007-2-9,185,AT
186,,2008,6,9,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2008-6-9,186,AT
187,,2008,8,19,"{'type': 'Point', 'coordinates': [-75.02798382, 6.293754876]}",5667,SAN RAFAEL,ANTIOQUIA,ORIENTE ANTIOQUEÑO,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.02798382, 6.293754876]}",6.293754876,-75.02798382,2008-8-19,187,AT
188,,2009,1,29,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2009-1-29,188,AT
189,,2009,2,1,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,2.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",3.414414305,-76.52156515,2009-2-1,189,AT
190,,2009,2,12,"{'type': 'Point', 'coordinates': [-73.33720845, 8.470368933]}",54206,CONVENCION,NORTE DE SANTANDER,CATATUMBO,GUERRILLA,ELN,9.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.33720845, 8.470368933]}",8.470368933,-73.33720845,2009-2-12,190,AT
191,,2009,4,16,"{'type': 'Point', 'coordinates': [-75.35235749, 7.578315451]}",5120,CACERES,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.35235749, 7.578315451]}",7.578315451,-75.35235749,2009-4-16,191,AT
192,,2009,7,7,"{'type': 'Point', 'coordinates': [-75.35235749, 7.578315451]}",5120,CACERES,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,GRUPO PARAMILITAR,NO IDENTIFICADO,0.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.35235749, 7.578315451]}",7.578315451,-75.35235749,2009-7-7,192,AT
193,,2009,8,15,"{'type': 'Point', 'coordinates': [-74.40994553, 6.48704114]}",5579,PUERTO BERRIO,ANTIOQUIA,MAGDALENA MEDIO,GRUPO POSDESMOVILIZACIÓN,NO IDENTIFICADO,0.0,0,0,1,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.40994553, 6.48704114]}",6.48704114,-74.40994553,2009-8-15,193,AT
194,,2011,6,13,"{'type': 'Point', 'coordinates': [-77.97908278, 2.449548194]}",52696,SANTA BARBARA,NARIÑO,ANDEN PACIFICO SUR,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.97908278, 2.449548194]}",2.449548194,-77.97908278,2011-6-13,194,AT
195,,2011,6,13,"{'type': 'Point', 'coordinates': [-78.109849, 2.477550593]}",52250,EL CHARCO,NARIÑO,ANDEN PACIFICO SUR,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.109849, 2.477550593]}",2.477550593,-78.109849,2011-6-13,195,AT
196,,2011,6,18,"{'type': 'Point', 'coordinates': [-76.57406468, 2.482503391]}",19001,POPAYAN,CAUCA,MACIZO COLOMBIANO,GUERRILLA,ELN,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.57406468, 2.482503391]}",2.482503391,-76.57406468,2011-6-18,196,AT
197,,2011,9,25,"{'type': 'Point', 'coordinates': [-76.51863329, 2.785615005]}",19137,CALDONO,CAUCA,NORTE DEL CAUCA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.51863329, 2.785615005]}",2.785615005,-76.51863329,2011-9-25,197,AT
198,,2011,10,25,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",52835,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",1.80711725,-78.76385415,2011-10-25,198,AT
199,,2012,6,4,"{'type': 'Point', 'coordinates': [-78.109849, 2.477550593]}",52250,EL CHARCO,NARIÑO,ANDEN PACIFICO SUR,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.109849, 2.477550593]}",2.477550593,-78.109849,2012-6-4,199,AT
200,,2012,6,18,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",3.875802437,-77.0117402,2012-6-18,200,AT
201,,2012,6,27,"{'type': 'Point', 'coordinates': [-72.24190502, 11.37832678]}",44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,GRUPO POSDESMOVILIZACIÓN,NO IDENTIFICADO,0.0,0,0,1,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.24190502, 11.37832678]}",11.37832678,-72.24190502,2012-6-27,201,AT
202,,2012,10,14,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",81794,TAME,ARAUCA,SARARE,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",6.449379486,-71.75861086,2012-10-14,202,AT
203,,2012,10,31,"{'type': 'Point', 'coordinates': [-76.24182023, 3.419827409]}",76563,PRADERA,VALLE DEL CAUCA,SUR DEL VALLE,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.24182023, 3.419827409]}",3.419827409,-76.24182023,2012-10-31,203,AT
204,,2013,3,11,"{'type': 'Point', 'coordinates': [-76.68423879, 2.349976425]}",19807,TIMBIO,CAUCA,MACIZO COLOMBIANO,DESCONOCIDO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.68423879, 2.349976425]}",2.349976425,-76.68423879,2013-3-11,204,AT
205,,2013,3,14,"{'type': 'Point', 'coordinates': [-77.24945028, 2.256754909]}",19050,ARGELIA,CAUCA,PATIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.24945028, 2.256754909]}",2.256754909,-77.24945028,2013-3-14,205,AT
206,,2013,12,7,"{'type': 'Point', 'coordinates': [-76.06350272, 2.549182984]}",19355,INZA,CAUCA,NORTE DEL CAUCA,GUERRILLA,FARC,8.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.06350272, 2.549182984]}",2.549182984,-76.06350272,2013-12-7,206,AT
207,,2014,1,16,"{'type': 'Point', 'coordinates': [-76.24182023, 3.419827409]}",76563,PRADERA,VALLE DEL CAUCA,SUR DEL VALLE,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.24182023, 3.419827409]}",3.419827409,-76.24182023,2014-1-16,207,AT
208,,2014,7,30,"{'type': 'Point', 'coordinates': [-76.22886987, 3.253095405]}",19455,MIRANDA,CAUCA,NORTE DEL CAUCA,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.22886987, 3.253095405]}",3.253095405,-76.22886987,2014-7-30,208,AT
209,,2015,6,14,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,DESCONOCIDO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",3.875802437,-77.0117402,2015-6-14,209,AT
210,,2015,6,16,"{'type': 'Point', 'coordinates': [-78.13989493, 1.670345194]}",52079,BARBACOAS,NARIÑO,ANDEN PACIFICO SUR,DESCONOCIDO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.13989493, 1.670345194]}",1.670345194,-78.13989493,2015-6-16,210,AT
211,,2015,7,10,"{'type': 'Point', 'coordinates': [-77.24945028, 2.256754909]}",19050,ARGELIA,CAUCA,PATIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.24945028, 2.256754909]}",2.256754909,-77.24945028,2015-7-10,211,AT
212,,2017,6,17,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,OTRA,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2017-6-17,212,AT
213,,2018,7,19,"{'type': 'Point', 'coordinates': [-71.59795501, 6.84134566]}",81065,ARAUQUITA,ARAUCA,SARARE,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,4.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.59795501, 6.84134566]}",6.84134566,-71.59795501,2018-7-19,213,AT
214,,2019,1,17,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,ELN,20.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2019-1-17,214,AT
215,,2021,3,26,"{'type': 'Point', 'coordinates': [-76.26131419, 3.173815457]}",19212,CORINTO,CAUCA,NORTE DEL CAUCA,GUERRILLA,DISIDENCIA FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.26131419, 3.173815457]}",3.173815457,-76.26131419,2021-3-26,215,AT
216,,2021,6,25,"{'type': 'Point', 'coordinates': [-72.5082562, 7.905306295]}",54001,CUCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,GUERRILLA,DISIDENCIA FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.5082562, 7.905306295]}",7.905306295,-72.5082562,2021-6-25,216,AT
217,,2022,4,19,"{'type': 'Point', 'coordinates': [-77.21574486, 2.384480734]}",19050,ARGELIA,CAUCA,PATIA,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.21574486, 2.384480734]}",2.384480734,-77.21574486,2022-4-19,217,AT
