,relcase_tax,year,mes,d_a,latitud_longitud,c_digo_dane_de_municipio,municipio,departamento,regi_n,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,guerrattack_tax,parattack_tax,clash_tax,govattack_tax,posdattack_tax,latitud_longitud_dict,latitude,longitude,date,event,dataset
358,,1988,11,12,"{'type': 'Point', 'coordinates': [-74.70159107, 7.079639679]}",5736,SEGOVIA,ANTIOQUIA,NORDESTE ANTIOQUEÑO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC/ELN,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.70159107, 7.079639679]}",7.079639679,-74.70159107,1988-11-12,358,AP
359,,1988,11,29,"{'type': 'Point', 'coordinates': [-72.87820252, 7.186250037]}",68820,TONA,SANTANDER,PROVINCIA DE SOTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.87820252, 7.186250037]}",7.186250037,-72.87820252,1988-11-29,359,AP
360,,1988,12,27,"{'type': 'Point', 'coordinates': [-73.94731196, 7.954176376]}",13744,SIMITI,BOLIVAR,MAGDALENA MEDIO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,7.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.94731196, 7.954176376]}",7.954176376,-73.94731196,1988-12-27,360,AP
361,,1990,12,7,"{'type': 'Point', 'coordinates': [-75.60748073, 4.985812862]}",17174,CHINCHINA,CALDAS,EJE CAFETERO,GUERRILLA,NO IDENTIFICADA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.60748073, 4.985812862]}",4.985812862,-75.60748073,1990-12-7,361,AP
362,,1990,12,30,"{'type': 'Point', 'coordinates': [-73.10416792, 5.031660681]}",15135,CAMPOHERMOSO,BOYACA,ORIENTE DE BOYACA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.10416792, 5.031660681]}",5.031660681,-73.10416792,1990-12-30,362,AP
363,,1991,3,8,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",19256,EL TAMBO,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",2.45137136,-76.81077225,1991-3-8,363,AP
364,,1992,10,26,"{'type': 'Point', 'coordinates': [-76.4270568, 8.850567734]}",5051,ARBOLETES,ANTIOQUIA,URABA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.4270568, 8.850567734]}",8.850567734,-76.4270568,1992-10-26,364,AP
365,,1993,12,29,"{'type': 'Point', 'coordinates': [-72.62708287, 6.628732408]}",68152,CARCASI,SANTANDER,PROVINCIA DE GARCIA ROVIRA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.62708287, 6.628732408]}",6.628732408,-72.62708287,1993-12-29,365,AP
366,,1995,12,5,"{'type': 'Point', 'coordinates': [-76.22886987, 3.253095405]}",19455,MIRANDA,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,"DISIDENCIA M19 ""JAIME BATEMAN CAYÓN""",,,3.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.22886987, 3.253095405]}",3.253095405,-76.22886987,1995-12-5,366,AP
367,,1996,2,14,"{'type': 'Point', 'coordinates': [-73.80321012, 8.619297878]}",20383,LA GLORIA,CESAR,MAGDALENA MEDIO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GRUPO PARAMILITAR,NO IDENTIFICADO,,,0.0,0,1,0,0,0,"{'type': 'Point', 'coordinates': [-73.80321012, 8.619297878]}",8.619297878,-73.80321012,1996-2-14,367,AP
368,,1996,8,30,"{'type': 'Point', 'coordinates': [-74.46743733, 4.877968134]}",25328,GUAYABAL DE SIQUIMA,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.46743733, 4.877968134]}",4.877968134,-74.46743733,1996-8-30,368,AP
369,,1997,6,4,"{'type': 'Point', 'coordinates': [-76.37957042, 2.611815645]}",19743,SILVIA,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.37957042, 2.611815645]}",2.611815645,-76.37957042,1997-6-4,369,AP
370,,1997,6,6,"{'type': 'Point', 'coordinates': [-78.13989493, 1.670345194]}",52079,BARBACOAS,NARIÑO,ANDEN PACIFICO SUR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,6.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-78.13989493, 1.670345194]}",1.670345194,-78.13989493,1997-6-6,370,AP
371,,1997,9,11,"{'type': 'Point', 'coordinates': [-72.70320992, 5.293665206]}",15518,PAJARITO,BOYACA,ORIENTE DE BOYACA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,10.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.70320992, 5.293665206]}",5.293665206,-72.70320992,1997-9-11,371,AP
372,,1997,10,13,"{'type': 'Point', 'coordinates': [-75.15748874, 1.908935073]}",18592,PUERTO RICO,CAQUETA,CAGUAN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.15748874, 1.908935073]}",1.908935073,-75.15748874,1997-10-13,372,AP
373,,1997,10,18,"{'type': 'Point', 'coordinates': [-77.21589814, 2.040478768]}",19075,BALBOA,CAUCA,PATIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.21589814, 2.040478768]}",2.040478768,-77.21589814,1997-10-18,373,AP
374,,1998,5,31,"{'type': 'Point', 'coordinates': [-73.09484592, 8.576771365]}",54250,EL TARRA,NORTE DE SANTANDER,CATATUMBO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.09484592, 8.576771365]}",8.576771365,-73.09484592,1998-5-31,374,AP
375,,1998,7,1,"{'type': 'Point', 'coordinates': [-72.62718599, 2.330161549]}",95025,EL RETORNO,GUAVIARE,ARIARI GUAYABERO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.62718599, 2.330161549]}",2.330161549,-72.62718599,1998-7-1,375,AP
376,,1998,10,11,"{'type': 'Point', 'coordinates': [-77.30621378, 1.934516214]}",52405,LEIVA,NARIÑO,PATIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.30621378, 1.934516214]}",1.934516214,-77.30621378,1998-10-11,376,AP
377,,1998,11,18,"{'type': 'Point', 'coordinates': [-76.85592449, 1.913360233]}",19022,ALMAGUER,CAUCA,MACIZO COLOMBIANO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.85592449, 1.913360233]}",1.913360233,-76.85592449,1998-11-18,377,AP
378,,1999,5,7,"{'type': 'Point', 'coordinates': [-75.48090671, 3.912976052]}",73675,SAN ANTONIO,TOLIMA,SUR DEL TOLIMA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.48090671, 3.912976052]}",3.912976052,-75.48090671,1999-5-7,378,AP
379,,1999,8,27,"{'type': 'Point', 'coordinates': [-77.08071233, 1.474978015]}",52019,ALBAN,NARIÑO,NORTE DE NARIÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.08071233, 1.474978015]}",1.474978015,-77.08071233,1999-8-27,379,AP
380,,2000,7,14,"{'type': 'Point', 'coordinates': [-75.60600233, 4.01159776]}",73622,RONCESVALLES,TOLIMA,SUR DEL TOLIMA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,DESCONOCIDO,NO APLICA,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.60600233, 4.01159776]}",4.01159776,-75.60600233,2000-7-14,380,AP
381,,2000,11,18,"{'type': 'Point', 'coordinates': [-77.51451329, 1.263299977]}",52036,ANCUYA,NARIÑO,CENTRO OCCIDENTE DE NARIÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.51451329, 1.263299977]}",1.263299977,-77.51451329,2000-11-18,381,AP
382,,2000,11,18,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",52678,SAMANIEGO,NARIÑO,OCCIDENTE DE NARIÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",1.335351879,-77.59445713,2000-11-18,382,AP
383,,2002,5,25,"{'type': 'Point', 'coordinates': [-72.89972106, 8.998278492]}",54810,TIBU,NORTE DE SANTANDER,CATATUMBO,DESCONOCIDO,NO APLICA,GUERRILLA,FARC,,,1.0,0,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.89972106, 8.998278492]}",8.998278492,-72.89972106,2002-5-25,383,AP
384,,2005,9,2,"{'type': 'Point', 'coordinates': [-76.64440389, 4.651204152]}",27745,SIPI,CHOCO,VALLE DE SAN JUAN,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC/ELN,,,10.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.64440389, 4.651204152]}",4.651204152,-76.64440389,2005-9-2,384,AP
385,,2007,5,14,"{'type': 'Point', 'coordinates': [-75.19371478, 4.439608991]}",73001,IBAGUE,TOLIMA,NORTE DEL TOLIMA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC,,,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.19371478, 4.439608991]}",4.439608991,-75.19371478,2007-5-14,385,AP
386,,2012,1,4,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",19256,EL TAMBO,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",2.45137136,-76.81077225,2012-1-4,386,AP
387,,2012,2,0,"{'type': 'Point', 'coordinates': [-78.65818187, 2.040809056]}",52520,FRANCISCO PIZARRO,NARIÑO,ANDEN PACIFICO SUR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,14.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-78.65818187, 2.040809056]}",2.040809056,-78.65818187,2012-2-0,387,AP
388,,2012,7,25,"{'type': 'Point', 'coordinates': [-77.23528154, 2.331034222]}",19050,ARGELIA,CAUCA,PATIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.23528154, 2.331034222]}",2.331034222,-77.23528154,2012-7-25,388,AP
389,,2013,2,5,"{'type': 'Point', 'coordinates': [-76.35354503, 3.0650044]}",19142,CALOTO,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.35354503, 3.0650044]}",3.0650044,-76.35354503,2013-2-5,389,AP
