,dataset,event,date,enddate,latitude,longitude,relcase_tax,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,clash_tax,govattack_tax,guerrattack_tax,parattack_tax,posdattack_tax,c_digo_dane_de_municipio,year
60,AT,60,1992-12-11,1992-12-11,4.65017303,-74.107359,CR005158,GUERRILLA,ELN,,,,,0.0,0,0,1,0,0,11001,1992
61,AT,61,1998-12-12,1998-12-12,7.116267276,-73.13259818,CR005159,GUERRILLA,DISIDENCIA EPL,,,,,0.0,0,0,1,0,0,68001,1998
62,AT,62,1999-12-6,1999-12-6,6.246715564,-75.58171333,CR005160,GUERRILLA,ELN,,,,,0.0,0,0,1,0,0,5001,1999
63,AT,63,2000-12-6,2000-12-6,6.142896667,-75.18444508,CR005161,GUERRILLA,FARC,,,,,22.0,0,0,1,0,0,5313,2000
64,AT,64,2002-12-16,2002-12-16,2.935604415,-75.27772259,CR005162,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,41001,2002
65,AT,65,1992-3-27,1992-3-27,4.65017303,-74.107359,CR005163,GUERRILLA,ELN,,,,,1.0,0,0,1,0,0,11001,1992
66,AT,66,2003-9-9,2003-9-9,6.187082996,-72.47189235,CR005164,GUERRILLA,ELN,,,,,9.0,0,0,1,0,0,15183,2003
67,AT,67,2003-9-28,2003-9-28,1.61792293,-75.60856043,CR005165,GUERRILLA,FARC,,,,,14.0,0,0,1,0,0,18001,2003
68,AT,68,2012-2-1,2012-2-1,1.80711725,-78.76385415,CR005166,GUERRILLA,FARC,,,,,9.0,0,0,1,0,0,52835,2012
69,AT,69,2012-8-26,2012-8-26,3.218280369,-73.79453841,CR005167,GUERRILLA,FARC,,,,,6.0,0,0,1,0,0,50711,2012
70,AT,70,2003-7-31,2003-7-31,5.996713021,-72.69196586,CR005168,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,15757,2003
71,AT,71,2005-5-3,2005-5-3,6.95385957,-71.87233343,CR005169,GUERRILLA,NO IDENTIFICADA,,,,,0.0,0,0,1,0,0,81736,2005
72,AT,72,2012-6-5,2012-6-5,2.477550593,-78.109849,CR005170,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,52250,2012
73,AT,73,1989-12-6,1989-12-6,4.65017303,-74.107359,CR005171,OTRO ¿CUÁL?,NO APLICA,,,,,63.0,0,0,0,0,0,11001,1989
74,AT,74,2012-11-4,2012-11-4,2.040478768,-77.21589814,CR005172,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,19075,2012
75,AT,75,2012-2-10,2012-2-10,3.173815457,-76.26131419,CR005173,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,19212,2012
76,AT,76,2002-7-28,2002-7-28,2.119786131,-74.76734058,CR005174,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,18753,2002
77,AT,77,2006-3-6,2006-3-6,2.119786131,-74.76734058,CR005176,GUERRILLA,FARC,,,,,4.0,0,0,1,0,0,18753,2006
78,AT,78,1998-2-6,1998-2-6,4.439355814,-74.52316032,CR005177,GUERRILLA,NO IDENTIFICADA,,,,,1.0,0,0,1,0,0,25878,1998
79,AT,79,2002-10-11,2002-10-11,4.519763473,-74.35076611,CR005178,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,25312,2002
80,AT,80,2002-1-25,2002-1-25,4.65017303,-74.107359,CR005179,GUERRILLA,FARC,,,,,6.0,0,0,1,0,0,11001,2002
81,AT,81,2002-3-11,2002-3-11,3.269732439,-73.37374343,CR005180,GUERRILLA,FARC,,,,,6.0,0,0,1,0,0,50577,2002
82,AT,82,2002-8-10,2002-8-10,6.449379486,-71.75861086,CR007134,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,81794,2002
83,AT,83,2012-5-1,2012-5-1,2.256754909,-77.24945028,CR008089,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,19050,2012
84,AT,84,2006-4-6,2006-4-6,4.65017303,-74.107359,CR010018,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,11001,2006
85,AT,85,2006-10-19,2006-10-19,4.65017303,-74.107359,CR010020,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,11001,2006
86,AT,86,2012-2-2,2012-2-2,3.177577927,-76.45787266,CR011002,GUERRILLA,FARC,,,,,6.0,0,0,1,0,0,19845,2012
87,AT,87,2007-3-1,2007-3-1,2.935604415,-75.27772259,CR011112,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,41001,2007
88,AT,88,2012-5-24,2012-5-24,1.28613693,-77.46956757,CR012043,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,52683,2012
89,AT,89,2012-4-28,2012-4-28,1.335351879,-77.59445713,CR013026,GUERRILLA,NO IDENTIFICADA,,,,,1.0,0,0,1,0,0,52678,2012
90,AT,90,2014-8-24,2014-8-24,10.24429187,-73.14473008,CR016067,GUERRILLA,NO IDENTIFICADA,,,,,0.0,0,0,1,0,0,20750,2014
91,AT,91,2012-1-22,2012-1-22,8.576771365,-73.09484592,CR017054,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,54250,2012
92,AT,92,2010-5-2,2010-5-2,2.572918366,-77.88803347,CR017103,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,1.0,0,0,0,0,0,19318,2010
93,AT,93,2002-3-30,2002-3-30,6.186864187,-67.486997,CR018154,GUERRILLA,FARC,,,,,6.0,0,0,1,0,0,99001,2002
94,AT,94,2010-6-11,2010-6-11,7.883417406,-76.62596065,CR018222,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,5045,2010
95,AT,95,2008-8-14,2008-8-14,7.17162903,-75.76467317,CR018223,GUERRILLA,FARC,,,,,7.0,0,0,1,0,0,5361,2008
96,AT,96,2008-12-14,2008-12-14,6.293754876,-75.02798382,CR018225,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,5667,2008
97,AT,97,2003-10-26,2003-10-26,6.963872352,-75.41883314,CR018227,DESCONOCIDO,NO APLICA,,,,,5.0,0,0,0,0,0,5887,2003
98,AT,98,1995-7-9,1995-7-9,4.65017303,-74.107359,CR018229,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,11001,1995
99,AT,99,1998-4-29,1998-4-29,11.52875138,-72.91148891,CR018236,DESCONOCIDO,NO APLICA,,,,,1.0,0,0,0,0,0,44001,1998
100,AT,100,2003-12-23,2003-12-23,7.570867761,-75.47096996,CR018301,GRUPO ARMADO NO DIRIMIDO,NO APLICA,,,,,4.0,0,0,0,0,0,5790,2003
101,AT,101,2009-3-28,2009-3-28,7.883417406,-76.62596065,CR018304,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,0.0,0,0,0,0,0,5045,2009
102,AT,102,2002-9-13,2002-9-13,6.95385957,-71.87233343,CR018420,GUERRILLA,FARC,,,,,4.0,0,0,1,0,0,81736,2002
103,AT,103,2011-3-18,2011-3-18,8.40015189,-73.20605269,CR018445,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,54670,2011
