,dataset,event,date,enddate,latitude,longitude,relcase_tax,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,clash_tax,govattack_tax,guerrattack_tax,parattack_tax,posdattack_tax,c_digo_dane_de_municipio,year
327,AP,327,2002-11-2,2002-11-2,5.078464508,-75.12096615,CR046872,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,73152,2002
328,AP,328,2012-7-5,2012-7-5,2.951450409,-76.27112721,CR047784,AGENTE DEL ESTADO,POLICÍA NACIONAL,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,0.0,0,0,1,0,0,19821,2012
329,AP,329,2012-9-1,2012-9-1,2.040478768,-77.21589814,CR047788,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,0.0,0,0,1,0,0,19075,2012
330,AP,330,1991-10-8,1991-10-8,5.136431386,-70.85974134,CR047919,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,99624,1991
331,AP,331,2010-3-20,2010-3-20,2.740968416,-75.56703425,CR048087,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,41801,2010
332,AP,332,2001-6-9,2001-6-9,5.714811641,-75.30939515,CR048191,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,5756,2001
333,AP,333,2001-9-29,2001-9-29,1.479172635,-75.43640776,CR048228,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,0,0,1,0,0,18410,2001
334,AP,334,2001-8-11,2001-8-11,4.713605767,-75.09793439,CR048255,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,73686,2001
335,AP,335,2006-8-4,2006-8-4,5.078464508,-75.12096615,CR048280,GUERRILLA,FARC,GUERRILLA,FARC,,,0.0,0,0,1,0,0,73152,2006
336,AP,336,1997-9-7,1997-9-7,6.676567272,-74.84004673,CR048286,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,0,0,1,0,0,5885,1997
