,muncode,_prcmean,year,_tempmean
2193,68160,27216.04651162791,2015,2938.2196382428942
2194,68160,24047.14534883721,2016,2943.596253229974
2195,68160,27275.901808785533,2017,2932.429586563307
2196,68160,28513.20542635659,2018,2931.484496124031
2197,68160,,2019,2936.1220930232557
2198,23162,12542.285990338163,2006,
2199,23162,13120.557971014494,2007,3007.4787439613524
2200,23162,14270.52270531401,2008,3004.9775362318837
2201,23162,11412.485990338164,2009,3011.9417874396136
2202,23162,15455.670531400967,2010,3012.2132850241546
2203,23162,15481.177053140096,2011,3006.651690821256
2204,23162,14268.141304347826,2012,3010.8480676328504
2205,23162,11621.042028985508,2013,3012.923188405797
2206,23162,10856.153886693019,2014,3015.13768115942
2207,23162,12908.264009661836,2015,3019.063526570048
2208,23162,11244.050966183575,2016,3017.168599033816
2209,23162,13188.150241545894,2017,3014.3270531400963
2210,23162,12673.092753623188,2018,3012.606038647343
2211,23162,,2019,3017.1483091787436
2212,15162,19435.116228070176,2006,
2213,15162,18012.407894736843,2007,2842.8837719298244
2214,15162,17891.85855263158,2008,2841.0997807017543
2215,15162,13548.98355263158,2009,2845.9221491228072
2216,15162,20170.826754385966,2010,2850.282894736842
2217,15162,21353.625,2011,2843.1842105263154
2218,15162,15449.195175438597,2012,2842.742324561403
2219,15162,27417.236842105263,2013,2847.9166666666665
2220,15162,27291.9509569378,2014,2847.1403508771928
2221,15162,34116.925438596496,2015,2848.5657894736846
2222,15162,33538.63157894737,2016,2848.3125
2223,15162,37471.11403508772,2017,2846.5416666666665
2224,15162,34383.87061403509,2018,2843.683114035088
2225,15162,,2019,2847.082236842105
2226,68162,18957.336826347306,2006,
2227,68162,17374.108283433136,2007,2824.437791084498
2228,68162,18012.178809048568,2008,2822.821523619428
2229,68162,11952.82119095143,2009,2826.943280106454
2230,68162,18879.615602129077,2010,2833.103127079175
2231,68162,15761.950266134396,2011,2826.263473053892
2232,68162,22073.702262142382,2012,2825.831669993347
2233,68162,40487.92132401863,2013,2829.685462408516
2234,68162,47655.58174559971,2014,2828.7287092481706
2235,68162,56009.28310046574,2015,2829.974883566201
2236,68162,41650.86776447106,2016,2824.5267797737856
2237,68162,41435.00831669993,2017,2827.629740518962
2238,68162,50673.25931470393,2018,2824.077012641384
2239,68162,,2019,2829.1671656686626
2240,25168,20550.96905940594,2006,
2241,25168,21613.987623762376,2007,2956.514438943894
2242,25168,21589.454620462046,2008,2953.6023102310232
2243,25168,19880.313531353135,2009,2961.752475247525
2244,25168,23321.316006600657,2010,2960.426567656765
2245,25168,22827.572194719472,2011,2957.366749174917
2246,25168,17325.959570957097,2012,2960.108498349835
2247,25168,21849.452145214524,2013,2961.713283828383
2248,25168,20919.686318631862,2014,2963.663778877888
2249,25168,16483.322194719472,2015,2966.8432343234326
2250,25168,24625.571369636964,2016,2963.381188118812
2251,25168,18203.52805280528,2017,2967.4195544554455
2252,25168,25509.78094059406,2018,2964.262376237624
2253,25168,,2019,2967.8964521452144
2254,70230,12213.198979591836,2006,
2255,70230,13054.594387755102,2007,2990.8562925170068
2256,70230,15851.043367346938,2008,2986.7619047619046
2257,70230,10963.365646258504,2009,2995.034013605442
2258,70230,15172.022108843537,2010,2995.005102040816
2259,70230,15501.801020408164,2011,2988.4353741496598
2260,70230,11115.018707482994,2012,2994.6649659863947
2261,70230,10838.03656462585,2013,2995.542517006803
2262,70230,9266.644712430427,2014,2997.7482993197277
2263,70230,9224.688775510205,2015,3003.3758503401364
2264,70230,11587.681972789114,2016,2996.0238095238096
2265,70230,13246.813775510205,2017,2996.4319727891157
2266,70230,12874.030612244898,2018,2994.332482993197
2267,70230,,2019,2998.59268707483
2268,73168,30046.476639621367,2006,
2269,73168,28701.891277890467,2007,2926.7372210953345
2270,73168,33329.791649763356,2008,2919.9315415821497
2271,73168,20679.05804597701,2009,2927.0477349560515
2272,73168,23515.317613252195,2010,2929.449154834347
2273,73168,26331.720182555782,2011,2923.7242393509127
2274,73168,18209.531237322513,2012,2926.632183908046
2275,73168,11697.415787694388,2013,2929.286105476673
2276,73168,12418.006269592477,2014,2929.6555780933063
2277,73168,6792.771196754565,2015,2935.9900270453013
2278,73168,11643.500067613253,2016,2940.1668356997975
2279,73168,15616.39046653144,2017,2931.7543272481403
2280,73168,11592.992224475996,2018,2930.970554428668
2281,73168,,2019,2936.4350574712644
2282,68167,21573.19884823848,2006,
2283,68167,22380.78336720867,2007,2903.140582655826
2284,68167,20084.901592140923,2008,2901.345867208672
2285,68167,18224.868394308945,2009,2905.4937330623306
2286,68167,22363.491192411922,2010,2909.957147696477
2287,68167,23077.605352303523,2011,2905.171578590786
2288,68167,17051.782689701897,2012,2904.736280487805
2289,68167,25703.26998644986,2013,2908.728319783198
2290,68167,25523.786215816704,2014,2908.567581300813
2291,68167,32618.662940379407,2015,2910.5430216802165
2292,68167,29616.487127371274,2016,2919.1205962059616
2293,68167,32834.38465447154,2017,2908.2640582655827
2294,68167,29829.43326558266,2018,2906.4767953929536
2295,68167,,2019,2910.269308943089
2296,68169,13917.693512304251,2006,
2297,68169,11430.32606263982,2007,2889.9189038031323
2298,68169,18893.62472035794,2008,2887.3646532438474
2299,68169,19925.27572706935,2009,2892.5520134228186
2300,68169,25417.357382550337,2010,2897.386465324385
2301,68169,23036.162192393735,2011,2890.983780760627
2302,68169,26078.65548098434,2012,2893.0430648769575
2303,68169,38387.297539149884,2013,2895.8853467561526
2304,68169,43321.04514948139,2014,2895.4535794183444
2305,68169,44198.39541387025,2015,2897.065995525727
2306,68169,34254.915548098434,2016,2900.0111856823264
2307,68169,33156.10067114094,2017,2892.3825503355706
2308,68169,39620.724832214764,2018,2890.836689038031
2309,68169,,2019,2894.7063758389263
2310,5172,29802.502252252252,2006,
2311,5172,38247.48599686643,2007,2990.6229925577754
2312,5172,34483.58362710536,2008,2987.383568350959
2313,5172,29341.18723070897,2009,2994.804935370153
2314,5172,31195.984038386214,2010,2996.2938699569136
2315,5172,31139.074716020372,2011,2991.9421269095183
2316,5172,27351.908147277714,2012,2995.103505679592
2317,5172,35068.07569526048,2013,2996.6191735213474
2318,5172,23058.703984617026,2014,2998.5190951821387
2319,5172,27733.067469643556,2015,3001.5615942028985
2320,5172,30928.42518605562,2016,3004.5196827262043
2321,5172,35665.70025460243,2017,2998.514884449667
2322,5172,32178.635135135133,2018,2996.7542107324716
2323,5172,,2019,3000.372796709753
2324,68176,31201.464405360133,2006,
2325,68176,32478.472780569515,2007,2908.312814070352
2326,68176,34156.78224455611,2008,2906.500837520938
2327,68176,28025.046063651593,2009,2911.081239530988
2328,68176,32292.283500837522,2010,2915.652010050251
2329,68176,32371.213567839197,2011,2910.925041876047
2330,68176,23739.78433835846,2012,2911.3907035175876
2331,68176,21763.93634840871,2013,2914.878140703517
2332,68176,22394.367291000457,2014,2916.4145728643216
2333,68176,28123.154941373534,2015,2918.713149078727
2334,68176,28760.548157453934,2016,2914.693467336683
2335,68176,36086.349246231155,2017,2916.545226130653
2336,68176,29402.21231155779,2018,2915.3592964824124
2337,68176,,2019,2919.0092127303183
2338,20175,15829.30738124488,2006,
2339,20175,16596.937039312037,2007,3006.3678337428337
2340,20175,22801.233619983617,2008,3004.068028255528
2341,20175,17315.99534193284,2009,3011.821867321867
2342,20175,31771.909142096643,2010,3008.814547502048
2343,20175,27985.03874897625,2011,3004.539107289107
2344,20175,31806.05052211302,2012,3012.776412776413
2345,20175,16055.025081900081,2013,3014.738278050778
2346,20175,14475.549586776859,2014,3017.9395986895984
2347,20175,15033.90822072072,2015,3022.089578214578
2348,20175,15581.05088042588,2016,3020.5956695331697
2349,20175,21043.679514742016,2017,3015.2321867321866
2350,20175,18136.53316953317,2018,3014.2803030303025
2351,20175,,2019,3018.663748976249
2352,23168,10292.311800172265,2006,
2353,23168,11297.084409991387,2007,3008.882644272179
2354,23168,13480.253660637381,2008,3006.323428079242
2355,23168,10458.777993109388,2009,3013.405684754522
2356,23168,14534.92097329888,2010,3013.3458225667528
2357,23168,14869.165805340226,2011,3007.9168819982774
2358,23168,12693.842161929371,2012,3012.465546942291
2359,23168,10892.617786391042,2013,3013.963608957795
2360,23168,9716.22621564482,2014,3016.4834194659775
2361,23168,11407.078811369509,2015,3020.517441860465
2362,23168,10648.940568475453,2016,3018.9091300602927
2363,23168,12545.928725236867,2017,3015.65202411714
2364,23168,12132.814168819983,2018,3013.9556416882
2365,23168,,2019,3018.249784668389
2366,15172,16317.799578059072,2006,
2367,15172,13596.900843881856,2007,2867.755274261603
2368,15172,14944.612341772152,2008,2868.0432489451473
2369,15172,11203.816455696202,2009,2869.379746835443
2370,15172,16381.302742616035,2010,2875.342299578059
2371,15172,19717.26265822785,2011,2871.5764767932487
2372,15172,16981.18407172996,2012,2867.2684599156114
2373,15172,19141.738924050635,2013,2869.755274261603
2374,15172,19343.844649021867,2014,2869.4361814345993
2375,15172,28046.947257383963,2015,2869.8006329113923
2376,15172,25472.472046413503,2016,2872.3808016877633
2377,15172,26140.583860759492,2017,2872.373417721519
2378,15172,24269.400316455696,2018,2868.8850210970463
2379,15172,,2019,2871.3744725738397
2380,17174,27697.077564102565,2006,
2381,17174,26375.45,2007,2937.742307692308
2382,17174,31875.13076923077,2008,2935.904487179487
2383,17174,24775.685897435895,2009,2942.2025641025643
2384,17174,28508.301923076924,2010,2944.4897435897437
2385,17174,30702.558974358977,2011,2942.023717948718
2386,17174,22081.7391025641,2012,2940.99358974359
2387,17174,28995.198076923076,2013,2942.769230769231
2388,17174,25230.195104895105,2014,2943.439743589744
2389,17174,23577.992307692304,2015,2946.505128205128
2390,17174,21988.719871794874,2016,2960.996153846154
2391,17174,28233.632692307696,2017,2944.4782051282054
2392,17174,26098.18782051282,2018,2943.4833333333336
2393,17174,,2019,2945.892307692308
2394,54172,17013.864057239058,2006,
2395,54172,18663.66919191919,2007,2919.1851851851848
2396,54172,16120.62542087542,2008,2914.9297138047136
2397,54172,16523.64898989899,2009,2918.806818181818
2398,54172,20343.80808080808,2010,2925.6569865319866
2399,54172,21132.88047138047,2011,2917.0471380471377
2400,54172,23883.98063973064,2012,2919.3177609427607
2401,54172,22639.833754208754,2013,2923.9002525252527
2402,54172,23327.393939393936,2014,2925.638047138047
2403,54172,27351.74158249158,2015,2926.5172558922563
2404,54172,23619.935606060608,2016,2934.038720538721
2405,54172,21661.910774410775,2017,2920.2070707070707
2406,54172,24865.48106060606,2018,2918.0151515151515
2407,54172,,2019,2922.361952861953
2408,23182,11857.668012561686,2006,
2409,23182,12385.456594885598,2007,3005.9385374607446
2410,23182,14528.419919246298,2008,3002.781292059219
2411,23182,11512.818752803949,2009,3010.026357110812
2412,23182,17315.933938986094,2010,3009.995065051593
2413,23182,17790.811350381337,2011,3003.9223867205023
2414,23182,12879.11350381337,2012,3009.743270524899
2415,23182,12270.537460744728,2013,3010.748766262898
2416,23182,10570.015538969777,2014,3014.172498878421
2417,23182,12593.424181247196,2015,3018.2508972633464
2418,23182,11930.481381785554,2016,3016.506953790938
2419,23182,13709.99248541947,2017,3013.124046657694
2420,23182,13248.606325706596,2018,3011.2105204127415
2421,23182,,2019,3016.1961641991925
2422,25178,14864.87784090909,2006,
2423,25178,12685.844696969696,2007,2854.00615530303
2424,25178,14392.586174242424,2008,2852.2859848484845
2425,25178,12525.289299242424,2009,2857.1051136363635
2426,25178,17494.045454545456,2010,2859.6732954545455
2427,25178,17799.901515151516,2011,2855.1946022727275
2428,25178,12678.098011363638,2012,2853.7864583333335
2429,25178,13294.038352272728,2013,2856.081912878788
2430,25178,12188.451446280991,2014,2856.2490530303025
2431,25178,13949.03409090909,2015,2858.9498106060605
2432,25178,17084.7021780303,2016,2859.496212121212
2433,25178,14857.779829545454,2017,2856.7367424242425
2434,25178,17245.19365530303,2018,2853.8248106060605
2435,25178,,2019,2856.3802083333335
2436,68179,28637.133480825956,2006,
2437,68179,29501.384218289084,2007,2898.547197640118
2438,68179,29419.611356932157,2008,2895.9277286135693
2439,68179,23756.36209439528,2009,2900.9609144542774
2440,68179,28502.28097345133,2010,2905.5457227138645
2441,68179,27998.538348082595,2011,2901.2175516224193
2442,68179,19987.603982300883,2012,2901.58185840708
2443,68179,24093.43657817109,2013,2904.4284660766957
2444,68179,22707.748994368463,2014,2905.6408554572276
2445,68179,32591.440265486726,2015,2908.663716814159
2446,68179,30638.66961651917,2016,2904.627581120944
2447,68179,38917.66150442478,2017,2906.5294985250734
2448,68179,31475.72418879056,2018,2905.02581120944
2449,68179,,2019,2908.989675516224
2450,15176,17417.830782312925,2006,
2451,15176,18507.27423469388,2007,2866.349914965986
2452,15176,18786.656037414967,2008,2862.7478741496598
2453,15176,14222.574404761903,2009,2869.866071428571
2454,15176,19160.19982993197,2010,2870.837585034014
2455,15176,23903.272108843536,2011,2866.9528061224487
2456,15176,13466.129676870749,2012,2868.626700680272
2457,15176,19754.35926870748,2013,2871.5408163265306
2458,15176,16746.45918367347,2014,2872.4434523809523
2459,15176,21156.073979591838,2015,2876.3596938775513
2460,15176,23132.32610544218,2016,2867.8656462585036
2461,15176,29485.349489795917,2017,2870.4774659863942
2462,15176,25890.80144557823,2018,2868.9119897959185
2463,15176,,2019,2872.971513605442
2464,20178,15749.262863955822,2006,
2465,20178,17020.70657630522,2007,3003.617909136546
2466,20178,19897.196034136545,2008,3001.5912399598396
2467,20178,12418.723205321287,2009,3011.262110943775
2468,20178,27710.979103915666,2010,3005.715926204819
2469,20178,21034.265876004018,2011,3001.5454317269073
2470,20178,25309.944904618475,2012,3010.034324799197
2471,20178,13113.652233935742,2013,3013.2833207831322
2472,20178,12460.266155531215,2014,3016.5999623493976
2473,20178,12539.103288152612,2015,3020.476844879518
2474,20178,12615.130584839359,2016,3019.068084839357
2475,20178,15730.8328313253,2017,3012.7373242971885
2476,20178,13992.340737951808,2018,3011.239457831325
2477,20178,,2019,3015.883157630522
2478,15180,29387.94253988788,2006,
2479,15180,27980.033311772317,2007,2818.2242345838727
2480,15180,27830.593035791288,2008,2817.0216688227683
2481,15180,21894.157503234153,2009,2820.792367399741
2482,15180,29842.376347563604,2010,2826.0782664941785
2483,15180,25370.794200086242,2011,2820.211513583441
2484,15180,33156.67927986201,2012,2818.880659767141
2485,15180,57338.12278999569,2013,2823.348318240621
2486,15180,68341.33611666471,2014,2821.8918714963347
2487,15180,83298.3736524364,2015,2822.6093143596377
2488,15180,59790.84788702027,2016,2821.440275981026
2489,15180,60017.87882708063,2017,2821.2033203967226
2490,15180,75019.00420439844,2018,2817.4816731349724
2491,15180,,2019,2822.1047865459245
2492,15183,15583.81242158093,2006,
2493,15183,13202.69531576746,2007,2836.159974905897
2494,15183,16060.05217482225,2008,2835.793078209954
2495,15183,12292.018088665829,2009,2837.326537013802
2496,15183,18000.137181095775,2010,2844.0102467586785
2497,15183,19099.49958176495,2011,2838.3880175658724
2498,15183,17062.3243412798,2012,2836.023316603931
2499,15183,25508.443433709745,2013,2839.6306984525304
2500,15183,27451.905212729554,2014,2838.564930991217
2501,15183,32587.658511083227,2015,2839.1902969468842
2502,15183,30378.399519029696,2016,2835.203575909661
2503,15183,33258.50230029277,2017,2840.1570472605604
2504,15183,35681.555520702634,2018,2836.127770807194
2505,15183,,2019,2839.9992680886658
2506,54174,21564.872457525726,2006,
2507,54174,20586.486360373296,2007,2857.815326633166
2508,54174,19748.69418521177,2008,2857.26746829385
2509,54174,14795.875807609476,2009,2858.8878918401533
2510,54174,20062.18796362766,2010,2866.6134242641783
2511,54174,17057.956748025845,2011,2861.168820291936
2512,54174,25305.59134960517,2012,2859.615817181144
2513,54174,42102.98277099785,2013,2862.1010409188802
2514,54174,50769.7741956536,2014,2860.6406436946636
2515,54174,61003.88968652787,2015,2860.5187843981817
2516,54174,44696.602536491984,2016,2867.258195740608
2517,54174,40628.70579085906,2017,2860.5430725053843
2518,54174,51624.35534816942,2018,2856.3962072266095
2519,54174,,2019,2860.7790739411344
2520,15185,24471.69073083779,2006,
2521,15185,24727.104723707667,2007,2898.688502673797
2522,15185,23441.242424242428,2008,2896.0405525846704
2523,15185,21492.60962566845,2009,2900.964795008913
2524,15185,26011.55570409982,2010,2905.1470588235293
2525,15185,26345.42023172906,2011,2900.5958110516935
2526,15185,18229.25401069519,2012,2900.9032976827093
2527,15185,20399.673796791445,2013,2904.3493761140817
2528,15185,19117.913466212933,2014,2904.5851158645273
2529,15185,27829.562834224595,2015,2907.319964349376
2530,15185,25452.117201426023,2016,2912.172905525847
2531,15185,29022.766042780746,2017,2903.999554367201
2532,15185,24235.219696969696,2018,2902.122549019608
2533,15185,,2019,2906.085561497326
2534,15187,13799.269444444444,2006,
2535,15187,10238.280555555555,2007,2850.6666666666665
2536,15187,12433.230555555556,2008,2850.3944444444446
2537,15187,9393.494444444445,2009,2853.9708333333333
2538,15187,14660.6875,2010,2857.222222222222
2539,15187,17825.180555555555,2011,2852.5013888888884
2540,15187,12261.515277777778,2012,2850.7916666666665
2541,15187,20077.133333333335,2013,2855.2319444444443
2542,15187,19501.066666666666,2014,2855.319444444445
2543,15187,28659.918055555554,2015,2855.631944444445
2544,15187,25983.68055555556,2016,2861.0027777777777
2545,15187,28146.45277777778,2017,2855.0625
2546,15187,26560.00138888889,2018,2851.8722222222223
2547,15187,,2019,2853.965277777778
2548,47170,10979.403128286014,2006,
2549,47170,12240.332939011567,2007,3005.3335962145106
2550,47170,11544.412329127234,2008,3003.0989747634067
2551,47170,10099.720951629863,2009,3011.920347003155
2552,47170,14882.404705573083,2010,3008.4292849631966
2553,47170,15718.840299684542,2011,3002.811119873817
2554,47170,10315.017875920084,2012,3011.4801524710833
2555,47170,8143.848317560462,2013,3013.1353838065193
2556,47170,6780.325207915113,2014,3016.4220557308095
2557,47170,6536.447818086225,2015,3021.310068349106
2558,47170,7400.688485804417,2016,3017.751051524711
2559,47170,9562.48619873817,2017,3015.409305993691
2560,47170,9391.106466876972,2018,3014.8080967402734
2561,47170,,2019,3019.443349106204
2562,25181,18421.764784946237,2006,
2563,25181,15031.754704301076,2007,2861.3840725806454
2564,25181,17147.53259408602,2008,2861.040994623656
2565,25181,14627.344758064517,2009,2864.0803091397847
2566,25181,18804.410282258064,2010,2866.391465053763
2567,25181,18967.929099462366,2011,2862.1209677419356
2568,25181,16562.875,2012,2859.274865591398
2569,25181,19042.52889784946,2013,2862.3961693548385
2570,25181,17856.78995601173,2014,2862.8719758064512
2571,25181,24146.789650537637,2015,2863.6952284946237
2572,25181,24980.274193548383,2016,2868.755376344086
2573,25181,21296.4811827957,2017,2863.3400537634407
2574,25181,23715.27688172043,2018,2859.9119623655915
2575,25181,,2019,2862.2342069892475
2576,25183,12486.185680751174,2006,
2577,25183,10414.16924882629,2007,2848.569953051643
2578,25183,11593.42746478873,2008,2848.7276995305165
2579,25183,8268.888732394365,2009,2850.6586854460093
2580,25183,12768.573004694836,2010,2856.6483568075114
2581,25183,15849.454460093897,2011,2851.904694835681
2582,25183,11524.34295774648,2012,2847.5330985915493
2583,25183,14388.80399061033,2013,2850.614084507042
2584,25183,12760.64404609475,2014,2850.3234741784036
2585,25183,17769.19061032864,2015,2850.2838028169012
2586,25183,19591.507746478874,2016,2854.1596244131456
2587,25183,18526.40985915493,2017,2852.7514084507043
2588,25183,19231.546713615022,2018,2848.430985915493
2589,25183,,2019,2850.8197183098596
2590,85015,35633.43495934959,2006,
2591,85015,31186.158310749775,2007,2904.8231707317077
2592,85015,33115.79787714544,2008,2904.1833785004515
2593,85015,30365.10411020777,2009,2906.4552845528456
2594,85015,37799.75903342367,2010,2911.4387985546523
2595,85015,40266.18495934959,2011,2907.103206865402
2596,85015,33549.01332429991,2012,2904.071815718157
2597,85015,41179.81481481481,2013,2906.7258355916892
2598,85015,42632.74796747968,2014,2907.2443541102075
2599,85015,62148.82949412827,2015,2908.456413730804
2600,85015,50943.8803071364,2016,2908.723803071364
2601,85015,50164.6111111111,2017,2908.878500451671
2602,85015,47316.03477868112,2018,2906.2107046070464
2603,85015,,2019,2909.758807588076
2604,25175,9871.199820788532,2006,
2605,25175,8003.432795698925,2007,2873.6111111111113
2606,25175,10584.389784946236,2008,2871.8826164874554
2607,25175,6765.140681003584,2009,2877.4175627240143
2608,25175,9641.06182795699,2010,2876.1084229390685
2609,25175,13061.46594982079,2011,2870.6120071684586
2610,25175,7965.844086021505,2012,2870.073476702509
2611,25175,9091.155017921146,2013,2874.838709677419
2612,25175,7781.1808406647115,2014,2876.6424731182797
2613,25175,7959.4292114695345,2015,2879.1344086021504
2614,25175,10950.333333333334,2016,2881.266129032258
2615,25175,9903.166666666666,2017,2873.4677419354834
2616,25175,12070.475806451614,2018,2869.78853046595
2617,25175,,2019,2873.451612903226
2618,15232,13279.933698296838,2006,
2619,15232,10764.9799270073,2007,2849.455596107056
2620,15232,13233.04805352798,2008,2846.5237226277372
2621,15232,9926.1399026764,2009,2853.212287104623
2622,15232,14901.75304136253,2010,2856.2396593673966
2623,15232,18146.35888077859,2011,2849.5687347931876
2624,15232,10037.192822384428,2012,2849.9087591240877
2625,15232,13087.859489051094,2013,2855.125912408759
2626,15232,11337.109489051094,2014,2855.486618004866
2627,15232,15399.10279805353,2015,2857.616788321168
2628,15232,16722.729318734793,2016,2855.5888077858885
2629,15232,19987.43187347932,2017,2852.832116788321
2630,15232,17380.021289537715,2018,2849.9768856447686
2631,15232,,2019,2852.918491484185
2632,68190,27412.17288657036,2006,
2633,68190,31482.686262707328,2007,3003.4010611735334
2634,68190,28911.724897449618,2008,2998.01252898163
2635,68190,17872.244003031923,2009,3005.749286606028
2636,68190,22019.42631977885,2010,3005.7783797039415
2637,68190,20449.999286606027,2011,3002.55493133583
2638,68190,15074.986021936864,2012,3009.756242197254
2639,68190,15398.440587658284,2013,3010.9126315320136
2640,68190,14852.404859185759,2014,3015.120340645622
2641,68190,18133.05056179775,2015,3020.056157481719
2642,68190,18844.572788478687,2016,3021.013420724095
2643,68190,25705.262729623686,2017,3019.416131621188
2644,68190,20149.657548599964,2018,3020.5186597110755
2645,68190,,2019,3026.378879079722
2646,63190,22046.957165109034,2006,
2647,63190,26512.911993769474,2007,2922.9976635514017
2648,63190,29566.01557632399,2008,2920.378504672897
2649,63190,19555.084112149532,2009,2926.9595015576324
2650,63190,27010.076323987538,2010,2928.5545171339563
2651,63190,31061.773364485984,2011,2926.4696261682243
2652,63190,23504.820872274144,2012,2926.5233644859813
2653,63190,24746.39953271028,2013,2927.6962616822434
2654,63190,21632.59218351742,2014,2928.808411214953
2655,63190,15776.342679127725,2015,2932.255451713396
2656,63190,20596.835669781933,2016,2942.5833333333335
2657,63190,28390.954828660437,2017,2929.2001557632398
2658,63190,24146.94781931464,2018,2928.5327102803735
2659,63190,,2019,2931.7990654205605
2660,5190,33402.933333333334,2006,
2661,5190,33217.21060606061,2007,2936.8212121212123
2662,5190,32753.186363636367,2008,2931.736363636364
2663,5190,26510.8196969697,2009,2941.1560606060607
2664,5190,32991.36363636364,2010,2942.5924242424244
2665,5190,34918.74393939394,2011,2938.3681818181817
2666,5190,28754.554545454546,2012,2942.383333333333
2667,5190,14198.37121212121,2013,2943.0954545454547
2668,5190,12329.889256198348,2014,2945.0227272727275
2669,5190,12182.777272727273,2015,2951.359090909091
2670,5190,14212.415151515152,2016,2952.5363636363636
2671,5190,16133.009090909089,2017,2945.925757575758
2672,5190,14714.800000000001,2018,2944.9045454545453
2673,5190,,2019,2950.9712121212124
2674,5101,32815.28797814207,2006,
2675,5101,36388.137158469945,2007,2923.062021857924
2676,5101,42279.019398907105,2008,2918.8379781420767
2677,5101,25570.534972677593,2009,2929.2226775956283
2678,5101,42210.940710382514,2010,2930.8562841530056
2679,5101,28297.554918032783,2011,2925.0729508196723
2680,5101,25273.767759562845,2012,2930.0499999999997
2681,5101,28598.748360655736,2013,2931.4937158469947
2682,5101,30881.754098360656,2014,2934.518032786885
2683,5101,31164.48469945355,2015,2939.4243169398906
2684,5101,27513.6218579235,2016,2937.2713114754097
2685,5101,37941.316666666666,2017,2933.1989071038247
2686,5101,40496.863114754095,2018,2932.2090163934427
2687,5101,,2019,2937.4562841530055
2688,47189,27501.525771018165,2006,
2689,47189,33890.02085973806,2007,2933.2424482467254
2690,47189,32310.014258555133,2008,2930.618029150824
2691,47189,23483.26299112801,2009,2935.8416244190958
2692,47189,36839.43678707224,2010,2936.9874313476976
2693,47189,35722.05185889311,2011,2933.131389945078
2694,47189,28548.506653992397,2012,2937.0962188424164
2695,47189,29499.857044782428,2013,2937.8382974228984
2696,47189,27249.636075584745,2014,2939.287864385298
2697,47189,32053.216360371778,2015,2942.5881918039718
2698,47189,28864.190166877903,2016,2937.8563582594
2699,47189,33219.34785593578,2017,2937.873046049852
2700,47189,28356.80391846219,2018,2936.5355935783696
2701,47189,,2019,2940.596905365441
2702,23189,12825.742424242424,2006,
2703,23189,13394.49275362319,2007,3005.536451471234
2704,23189,14889.110452349581,2008,3002.737373737374
2705,23189,12644.767018006149,2009,3009.742534036012
2706,23189,17853.84365393061,2010,3010.0865173473867
2707,23189,17891.710913482653,2011,3003.902832674572
2708,23189,14407.881203337725,2012,3009.0532498902066
2709,23189,12612.03052261748,2013,3010.7268335529207
2710,23189,11455.954126242663,2014,3013.5626921387793
2711,23189,13815.571475625824,2015,3017.4812252964425
2712,23189,12059.680720245939,2016,3015.771519543259
2713,23189,13680.061374615723,2017,3012.765590689504
2714,23189,12973.903271848925,2018,3011.0219587176107
2715,23189,,2019,3015.8567193675885
2716,15189,14496.825641025642,2006,
2717,15189,10809.161538461538,2007,2848.903846153846
2718,15189,12948.910256410256,2008,2849.6679487179485
2719,15189,9568.901282051282,2009,2851.2397435897437
2720,15189,14672.11923076923,2010,2856.4551282051284
2721,15189,18133.580769230768,2011,2853.192307692308
2722,15189,14138.114102564103,2012,2849.2910256410255
2723,15189,20991.61025641026,2013,2852.1038461538465
2724,15189,21213.979020979023,2014,2851.93717948718
2725,15189,30924.270512820513,2015,2851.9653846153847
2726,15189,27206.43717948718,2016,2855.064102564102
2727,15189,28737.03205128205,2017,2854.248717948718
2728,15189,26577.896153846155,2018,2850.882051282051
2729,15189,,2019,2853.119230769231
2730,5197,34058.68223760092,2006,
2731,5197,34844.45271049596,2007,2939.709630911188
2732,5197,37263.18598615917,2008,2935.737312572088
2733,5197,27487.300461361014,2009,2943.992791234141
2734,5197,34186.89013840831,2010,2945.392733564014
2735,5197,38351.01211072664,2011,2941.3558246828143
2736,5197,27188.701557093427,2012,2946.0265282583623
2737,5197,17260.526816609,2013,2946.487312572088
2738,5197,14369.49355143127,2014,2948.3489042675897
2739,5197,12788.94982698962,2015,2953.8269896193774
2740,5197,16298.803056516723,2016,2959.95645905421
2741,5197,20028.611591695502,2017,2947.632929642445
2742,5197,17786.14042675894,2018,2947.922433679354
2743,5197,,2019,2951.556805074971
2744,73200,12274.239166666666,2006,
2745,73200,14727.7575,2007,2983.5460416666665
2746,73200,14195.258125,2008,2979.8685416666667
2747,73200,11571.917083333334,2009,2987.4456250000003
2748,73200,14392.379166666666,2010,2988.3583333333336
2749,73200,13330.514166666668,2011,2984.564375
2750,73200,9999.50625,2012,2988.669375
2751,73200,17208.476041666665,2013,2990.3225
2752,73200,16963.212499999998,2014,2991.869583333333
2753,73200,11750.8725,2015,2995.3302083333333
2754,73200,14849.01375,2016,3001.32375
2755,73200,16162.936041666666,2017,2999.5556249999995
2756,73200,17089.20625,2018,2994.9833333333336
2757,73200,,2019,3001.335416666667
2758,25200,14224.841503267975,2006,
2759,25200,13116.73202614379,2007,2857.1056644880173
2760,25200,14972.977124183008,2008,2854.9950980392155
2761,25200,9027.708605664488,2009,2861.3229847494554
2762,25200,13097.289760348584,2010,2862.1704793028325
2763,25200,17988.772331154683,2011,2856.1612200435734
2764,25200,11516.55119825708,2012,2855.4901960784314
